Chapter_QID_URL,Report,Chapter,Last Name,First Name,Role,Gender,Country of Residence,Citizenship,Affiliation,Match_Type
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Durack,Paul,Lead Author,M,USA,Australia,Lawrence Livermore National Laboratory,EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Kosaka,Yu,Lead Author,F,Japan,Japan,"Research Center for Advanced Science and Technology, The University of Tokyo",EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Mcgregor,Shayne,Lead Author,M,Australia,Australia,"School of Earth, Amtosphere and Environment, Monash University",EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Min,Seung-ki,Lead Author,M,Republic of Korea,Republic of Korea,Pohang University of Science and Technology,EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Morgenstern,Olaf,Lead Author,M,New Zealand,Germany,National Institute of Water and Atmospheric Research (NIWA),EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Sun,Ying,Lead Author,F,China,China,China Meteorological Administration,EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Halenka,Tomas,Review Editor,M,Czech Republic,Czech Republic,Charles University,EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Marengo Orsini,Jose Antonio,Review Editor,M,Brazil,Peru,CEMADEN,EXACT
http://localhost:8080/entity/Q87,WGI,Chapter 3: Human influence on the climate system,Mitchell,Daniel,Review Editor,M,UK,UK,University of Bristol,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Lee,June-yi,Coordinating Lead Author,F,Republic of Korea,Republic of Korea,Pusan National University and Institute for Basic Science Center for Climate Physics,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Marotzke,Jochem,Coordinating Lead Author,M,Germany,Germany,Max Planck Institute for Meteorology,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Bala,Govindasamy,Lead Author,M,India,USA,Indian Institute of Science,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Cao,Long,Lead Author,M,China,China,"School of Earth Sciences, Zhejiang University",EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Corti,Susanna,Lead Author,F,Italy,Italy,Consiglio Nazionale delle Ricerche (CNR) - Istituto di Scienze dell,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Dunne,John,Lead Author,M,USA,USA,NOAA Geophysical Fluid Dynamics Laboratory,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Engelbrecht,Francois,Lead Author,M,South Africa,South Africa,University of the Witwatersrand,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Fischer,Erich,Lead Author,M,Switzerland,Switzerland,ETH Zurich,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Fyfe,John,Lead Author,M,Canada,Canada,Environment and Climate Change Canada,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Jones,Christopher,Lead Author,M,UK,UK,Met Office Hadley Centre,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Maycock,Amanda,Lead Author,F,UK,UK,University of Leeds,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Mutemi,Joseph,Lead Author,M,Kenya,Kenya,University of Nairobi,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Ndiaye,Ousman,Lead Author,M,Niger,Senegal,African Center of Meteorological Applications for Development (ACMAD),EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Panickal,Swapna,Lead Author,F,India,India,Indian Institute of Tropical Meterology,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Zhou,Tianjun,Lead Author,M,China,China,"Institute of Atmospheric Physics, Chinese Academy of Sciences",EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Kanikicharla,Krishna Kumar,Review Editor,M,Qatar,India,Qatar Meterology Department,EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Kattsov,Vladimir,Review Editor,M,Russia,Russia,"Voeikov Main Geophysical Observatory, Federal Service for Hydrometeorology and Environmental Monitoring",EXACT
http://localhost:8080/entity/Q88,WGI,Chapter 4: Future global climate: scenario-based projections and near-term information,Kimoto,Masahide,Review Editor,M,Japan,Japan,"Atmosphere and Ocean Research Institute, the University of Tokyo",EXACT
http://localhost:8080/entity/Q90,WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,Canadell,Josep,Coordinating Lead Author,M,Australia,Australia,"Comonwealth Scientic and Industrial Organization (CSIRO), Oceans and Atmosphere",EXACT
http://localhost:8080/entity/Q90,WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,Scheel Monteiro,Pedro,Coordinating Lead Author,M,South Africa,South Africa,CSIR,EXACT
http://localhost:8080/entity/Q90,WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,Costa,Marcos,Lead Author,M,Brazil,Brazil,The Federal University of Viçosa,EXACT
http://localhost:8080/entity/Q90,WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,Cotrim Da Cunha,Leticia,Lead Author,F,Brazil,Brazil,Universidade do Estado do Rio de Janeiro UERJ,EXACT
http://localhost:8080/entity/Q90,WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,Cox,Peter M.,Lead Author,M,UK,UK,University of Exeter,EXACT
http://localhost:8080/entity/Q90,WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,Eliseev,Alexey V.,Lead Author,M,Russia,Russia,Moscow State University,EXACT
http://localhost:8080/entity/Q90,WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,Henson,Stephanie,Lead Author,F,UK,UK,National Oceanography Centre,EXACT
http://localhost:8080/entity/Q90,WGI,Chapter 5: Global carbon and other biogeochemical cycles and feedbacks,Ishii,Masao,Lead Author,M,Japan,Japan,"Oceanography and Geochemistry Research Department, Meteorological Research Institute, Japan Meteorological Agency",EXACT
